learning_rate,epoca,costo_entrenamiento
0.001,275,0.014900362552757566
0.001,276,0.014782947764464848
0.001,277,0.014680375839598627
0.001,278,0.014562902866909979
0.001,279,0.014468347724890631
0.001,280,0.014353861059999685
0.001,281,0.014235204472128405
0.001,282,0.014135286993566844
0.001,283,0.014042641741243948
0.001,284,0.013934720779677093
0.001,285,0.013815770302340918
0.001,286,0.013719057509167154
0.001,287,0.013618641311571086
0.001,288,0.01350932676518147
0.001,289,0.013408894956410802
0.001,290,0.013313393805843307
0.001,291,0.01321584970787016
0.001,292,0.013126410403489441
0.001,293,0.013022890662976107
0.001,294,0.01293380743797651
0.001,295,0.012834575719615595
0.001,296,0.012751248502889645
0.001,297,0.012679143431193857
0.001,298,0.012562486354306662
0.001,299,0.012485738556671191
0.001,300,0.012388521810176658
0.001,301,0.012316665862091559
0.001,302,0.012216288507830247
0.001,303,0.012121026425811645
0.001,304,0.012040902564922433
0.001,305,0.011952891272787989
0.001,306,0.01186690046683455
0.001,307,0.011785533906358484
0.001,308,0.011703497234304316
0.001,309,0.011622010477614032
0.001,310,0.011549431875541952
0.001,311,0.01146105180515401
0.001,312,0.011373883255393341
0.001,313,0.011306122202248229
0.001,314,0.011219106610424232
0.001,315,0.011136861572381355
0.001,316,0.011068930343983265
0.001,317,0.010993574103588106
0.001,318,0.010914009465709121
0.001,319,0.01084222822310005
0.001,320,0.010765210729560028
0.001,321,0.010684989510694728
0.001,322,0.010623606280371158
0.001,323,0.010551340658216182
0.01,1,0.9604407863055395
0.01,2,0.7346856499485444
0.01,3,0.5729560220243024
0.01,4,0.4405141952253061
0.01,5,0.3369248738901231
0.01,6,0.25807509682052376
0.01,7,0.20015705390328548
0.01,8,0.15841879331325667
0.01,9,0.12875147629878442
0.01,10,0.10727405841046285
0.01,11,0.0900303098567237
0.01,12,0.07815152753853459
0.01,13,0.06854581596694125
0.01,14,0.060156022265294394
0.01,15,0.05380692439651165
0.01,16,0.048497629910320035
0.01,17,0.04405034036332983
0.01,18,0.040186340688883604
0.01,19,0.03661955962387179
0.01,20,0.03379581465413271
0.01,21,0.031090862066592072
0.01,22,0.028801955422250596
0.01,23,0.026690002556383055
0.01,24,0.02471538851505582
0.01,25,0.023229968365867253
0.01,26,0.02208897435158628
0.01,27,0.0203820700772355
0.01,28,0.019095818588597217
0.01,29,0.018046716102073278
0.01,30,0.01701469410502876
0.01,31,0.016075948518393262
0.01,32,0.015251766690649768
0.01,33,0.014596340757550327
0.01,34,0.013772300351960113
0.01,35,0.01320221820711466
0.01,36,0.012585313986989453
0.01,37,0.011961214809224822
0.01,38,0.011441065938328932
0.01,39,0.010948390617750286
0.01,40,0.01047681311449776
0.01,41,0.010072470595658
0.01,42,0.009657995105497457
0.01,43,0.009381394087009857
0.01,44,0.008963319897423865
0.01,45,0.00858893976465639
0.01,46,0.008290970066044212
0.01,47,0.008002462096723704
0.01,48,0.00774310856157568
0.01,49,0.007454038436250382
0.01,50,0.007204500800058183
0.01,51,0.007010916468250362
0.01,52,0.006744176031653678
0.01,53,0.006559442367222466
0.01,54,0.006341478619220948
0.01,55,0.006152888269765422
0.01,56,0.0059857325308472695
0.01,57,0.005784491366945098
0.01,58,0.005643533332894074
0.01,59,0.005495069266839245
0.01,60,0.00531261760617762
0.01,61,0.0051702494785577395
0.01,62,0.005046521554415052
0.01,63,0.004910968352032676
0.01,64,0.004791986692980986
0.01,65,0.004643553103072943
0.01,66,0.004556732279349281
0.01,67,0.004450425905798918
0.01,68,0.004337431180997555
0.01,69,0.004222840483080895
0.01,70,0.004133869022334378
